               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046479,            0.070531,            0.016651,             0.79144,             0.53762,             0.67308,             0.44988,            0.039691,            0.034141,            0.011437,              0.0964,              0.0004,              0.0004
                   1,            0.046039,            0.067541,              0.0173,             0.73695,              0.6113,             0.70763,             0.47246,            0.039063,            0.033376,            0.010149,            0.091855,          0.00085545,          0.00085545
                   2,             0.04266,            0.062035,            0.016524,               0.767,             0.63739,             0.73988,             0.48914,            0.038474,            0.032768,           0.0089488,            0.087261,           0.0012614,           0.0012614
                   3,            0.044967,            0.064749,            0.015267,             0.80118,             0.62952,             0.74903,             0.50138,            0.037868,             0.03226,            0.007847,            0.082618,           0.0016178,           0.0016178
                   4,            0.043163,            0.064817,            0.015463,             0.79332,             0.66118,             0.76159,              0.5147,             0.03763,            0.031909,           0.0073077,            0.077925,           0.0019248,           0.0019248
                   5,            0.041746,            0.061668,            0.013819,             0.80814,             0.66326,             0.77969,             0.51866,            0.037411,            0.031173,            0.006861,            0.073182,           0.0021823,           0.0021823
                   6,            0.041961,            0.054714,            0.011957,             0.81031,              0.6918,             0.79612,             0.53367,             0.03683,            0.030671,           0.0064488,             0.06839,           0.0023902,           0.0023902
                   7,            0.040702,            0.053664,            0.010408,             0.75945,             0.71507,             0.80406,             0.53835,            0.036885,            0.030064,           0.0061662,            0.063549,           0.0025486,           0.0025486
                   8,            0.043558,            0.055667,            0.011912,             0.80217,             0.70985,             0.82836,             0.53275,            0.037696,            0.029153,           0.0056595,            0.058658,           0.0026576,           0.0026576
                   9,            0.043354,            0.056027,            0.011867,             0.77956,             0.74402,             0.83244,             0.54437,            0.038094,            0.028757,           0.0054723,            0.053717,           0.0027171,           0.0027171
                  10,            0.042343,            0.054299,             0.01105,             0.78894,             0.75546,             0.82958,              0.5454,            0.038148,            0.028075,           0.0052768,            0.048727,            0.002727,            0.002727
                  11,            0.044207,            0.056846,            0.011226,             0.82338,             0.72972,             0.82645,             0.55423,            0.038158,            0.027816,           0.0051369,            0.043687,           0.0026875,           0.0026875
                  12,            0.042413,            0.055112,            0.010899,             0.82505,             0.77087,             0.83506,             0.56233,            0.036451,            0.027421,           0.0049461,            0.038598,           0.0025984,           0.0025984
                  13,             0.03943,             0.05014,            0.010683,             0.84693,             0.75088,             0.84135,             0.57227,            0.036532,              0.0272,           0.0047841,             0.03346,           0.0024598,           0.0024598
                  14,            0.042229,            0.058569,            0.011828,             0.80093,             0.79512,             0.84451,             0.58656,            0.035768,            0.026781,           0.0045667,            0.028272,           0.0022718,           0.0022718
                  15,             0.04334,            0.056494,            0.010203,             0.81459,             0.79074,             0.84401,              0.5806,             0.03553,            0.026736,           0.0044934,            0.023034,           0.0020343,           0.0020343
                  16,            0.040241,            0.053454,           0.0090402,             0.82525,             0.78539,             0.84786,             0.60007,            0.034339,            0.026475,           0.0043859,            0.017747,           0.0017472,           0.0017472
                  17,            0.038918,            0.050347,           0.0090125,             0.84608,             0.78571,             0.85393,             0.60623,            0.034416,            0.026148,             0.00431,            0.012411,           0.0014107,           0.0014107
                  18,            0.038496,            0.049639,              0.0102,              0.8398,             0.80225,             0.85259,             0.60551,            0.034264,            0.026079,           0.0042576,           0.0070246,           0.0010246,           0.0010246
                  19,            0.040671,            0.054344,           0.0096593,             0.84391,             0.80959,             0.86035,             0.61507,            0.033758,            0.025918,            0.004196,           0.0015891,          0.00058905,          0.00058905
